Transaction ID,Region,Segment,Product Category,Product,Sales,Quantity,Discount,Profit,Transaction Date
518859f6-9cdf-4c59-97c7-359298c4a40a,West,Small Business,Furniture,Sofa,14612.07,19,0.21,2279.96,2025-12-26
c3669164-ed6c-4ce1-9408-adad63b868a6,North,Freelancer,Furniture,Sofa,19240.53,7,0.24,1606.8,2026-03-09
9c6b0829-aa8a-4b6e-8d2f-956e0d4baf0e,East,Corporate,Technology,Speaker,15675.18,16,0.34,3072.91,2026-01-17
c822480c-6f04-420d-993d-9a1fd3b3ed32,South,Freelancer,Technology,Printer,5539.38,11,0.26,1015.66,2025-11-30
54df455e-c7ec-4d36-93e7-4bd38749b156,South,Small Business,Technology,Router,32023.95,10,0.26,5802.14,2025-11-30
9954ef61-500e-4026-9809-492c7a62f27b,North,Enterprise,Technology,Smartphone,24478.85,2,0.27,4681.39,2026-03-21
3057ade9-5faf-495a-a27a-a11c0cadf91e,South,Small Business,Clothing,Shirt,13905.01,13,0.32,1829.09,2025-12-30
b17a1eaf-3f38-47fa-a028-bc9012f27b96,West,Corporate,Furniture,Chair,44865.87,12,0.44,4366.66,2026-01-07
bc080e7c-0d2f-437e-831c-dded92666018,South,Enterprise,Technology,Camera,2420.48,12,0.12,381.8,2026-04-24
db684d24-2442-4b5a-a6f8-909ff66390e1,East,Consumer,Furniture,Sofa,27812.32,4,0.31,3586.23,2026-01-13
ed64a3ba-0343-48bc-b053-dbb1cf000924,West,Consumer,Office Supplies,Envelopes,48348.93,8,0.07,10306.97,2026-01-27
64ab1697-8edb-4e45-ace8-4a269fbb2bf1,East,Corporate,Furniture,Desk,26189.11,12,0.15,5003.56,2025-12-26
1a4e1475-ce5f-464c-8af8-768441d63249,East,Enterprise,Furniture,Filing Cabinet,1750.16,15,0.17,290.02,2025-12-21
42a4c25f-330a-4fe8-8b54-561e6fedfc33,West,Enterprise,Furniture,Sofa,20188.41,9,0.34,3503.54,2025-12-16
00f35bc6-379e-4b1d-8b38-d518d551d06a,West,Small Business,Clothing,Shirt,29294.66,12,0.1,4475.32,2026-01-24
d8bef442-4abc-41cf-96a7-3776cf58dce7,South,Corporate,Technology,Camera,29231.32,5,0.28,2894.76,2026-04-29
c66da342-27f3-4779-a333-c9a1c91f35ff,North,Corporate,Furniture,Desk,20024.99,19,0.31,4127.04,2026-03-10
acccb3f6-2138-4e8f-8f0e-fd1791fe5ed5,South,Freelancer,Technology,Monitor,18021.49,12,0.19,2194.24,2026-04-21
b896f914-9e4a-4328-a4fc-94430bedc950,South,Freelancer,Office Supplies,Paper,11076.3,14,0.09,1732.86,2026-03-10
efb1d94e-87d4-486c-a6df-bc0de8a1f7a3,North,Consumer,Office Supplies,Paper,16098.23,13,0.2,3011.31,2026-01-25
ec70e15d-a3d9-49a6-90ea-9929a18198d8,East,Enterprise,Office Supplies,Envelopes,44389.98,18,0.11,5393.37,2026-04-09
76fbdfc4-08ed-4bbf-b11f-b53c8ce9983b,North,Consumer,Furniture,Desk,903.41,19,0.02,218.7,2026-05-07
8d4c032f-6546-4a1b-9f8f-c6f667e6b5e0,East,Freelancer,Furniture,Desk,40107.9,19,0.23,4277.42,2026-02-26
c81a13b0-f872-47ff-9228-fabe25bc2dab,South,Corporate,Furniture,Chair,4696.81,11,0.34,912.89,2025-12-24
3957f5b4-c3e6-47ce-8b47-d5d01600b3b8,North,Enterprise,Technology,Laptop,43011.29,18,0.22,9486.27,2026-01-17
dbefcaaf-e9dd-4de2-9480-6a8f1b8477e2,South,Enterprise,Technology,Router,49226.24,7,0.19,5426.43,2026-03-12
7398f9a2-8118-4c9f-8d3a-68615edf4921,South,Freelancer,Office Supplies,Binders,20263.1,17,0.27,4442.96,2026-01-09
1bc4fe6d-e434-43b2-9b9e-e82fb70af791,West,Small Business,Furniture,Bookcase,10528.89,8,0.09,2156.56,2026-04-30
ad20b96a-3da5-4f10-885a-4fb66582d921,North,Small Business,Furniture,Sofa,15371.77,1,0.17,2774.22,2025-12-13
